Date,Date
2022-02-28,3 days
2022-03-07,3 days
2022-03-14,3 days
2022-03-21,3 days
2022-03-28,3 days
2022-04-04,3 days
2022-04-11,3 days
2022-04-18,4 days
2022-04-25,3 days
2022-05-02,3 days
2022-05-09,3 days
2022-05-16,3 days
2022-05-23,3 days
2022-05-31,4 days
2022-06-06,3 days
2022-06-13,3 days
2022-06-21,4 days
2022-06-27,3 days
2022-07-05,4 days
2022-07-11,3 days
2022-07-18,3 days
2022-07-25,3 days
2022-08-01,3 days
2022-08-08,3 days
2022-08-15,3 days
2022-08-22,3 days
2022-08-29,3 days
2022-09-06,4 days
2022-09-12,3 days
2022-09-19,3 days
2022-09-26,3 days
2022-10-03,3 days
2022-10-10,3 days
2022-10-17,3 days
2022-10-24,3 days
2022-10-31,3 days
2022-11-07,3 days
2022-11-14,3 days
2022-11-21,3 days
2022-11-25,2 days
2022-11-28,3 days
2022-12-05,3 days
2022-12-12,3 days
2022-12-19,3 days
2022-12-27,4 days
2023-01-03,4 days
2023-01-09,3 days
2023-01-17,4 days
2023-01-23,3 days
2023-01-30,3 days
2023-02-06,3 days
2023-02-13,3 days
2023-02-21,4 days
2023-02-27,3 days
2023-03-06,3 days
2023-03-13,3 days
2023-03-20,3 days
2023-03-27,3 days
2023-04-03,3 days
2023-04-10,4 days
2023-04-17,3 days
2023-04-24,3 days
2023-05-01,3 days
2023-05-08,3 days
2023-05-15,3 days
2023-05-22,3 days
2023-05-30,4 days
2023-06-05,3 days
2023-06-12,3 days
2023-06-20,4 days
2023-06-26,3 days
2023-07-03,3 days
2023-07-05,2 days
2023-07-10,3 days
2023-07-17,3 days
2023-07-24,3 days
2023-07-31,3 days
2023-08-07,3 days
2023-08-14,3 days
2023-08-21,3 days
2023-08-28,3 days
2023-09-05,4 days
2023-09-11,3 days
2023-09-18,3 days
2023-09-25,3 days
2023-10-02,3 days
2023-10-09,3 days
2023-10-16,3 days
2023-10-23,3 days
2023-10-30,3 days
2023-11-06,3 days
2023-11-13,3 days
2023-11-20,3 days
2023-11-24,2 days
2023-11-27,3 days
2023-12-04,3 days
2023-12-11,3 days
2023-12-18,3 days
2023-12-26,4 days
2024-01-02,4 days
2024-01-08,3 days
2024-01-16,4 days
2024-01-22,3 days
2024-01-29,3 days
2024-02-05,3 days
2024-02-12,3 days
2024-02-20,4 days
2024-02-26,3 days
2024-03-04,3 days
2024-03-11,3 days
2024-03-18,3 days
2024-03-25,3 days
2024-04-01,4 days
2024-04-08,3 days
2024-04-15,3 days
2024-04-22,3 days
2024-04-29,3 days
2024-05-06,3 days
2024-05-13,3 days
2024-05-20,3 days
2024-05-28,4 days
2024-06-03,3 days
2024-06-10,3 days
2024-06-17,3 days
2024-06-20,2 days
2024-06-24,3 days
2024-07-01,3 days
2024-07-05,2 days
2024-07-08,3 days
2024-07-15,3 days
2024-07-22,3 days
2024-07-29,3 days
2024-08-05,3 days
2024-08-12,3 days
2024-08-19,3 days
2024-08-26,3 days
2024-09-03,4 days
2024-09-09,3 days
2024-09-16,3 days
2024-09-23,3 days
2024-09-30,3 days
2024-10-07,3 days
2024-10-14,3 days
2024-10-21,3 days
2024-10-28,3 days
2024-11-04,3 days
2024-11-11,3 days
2024-11-18,3 days
2024-11-25,3 days
